Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Allen Iverson,2009,27,0.353,0,0.938,1,2
Allen Iverson,2009,25,0.364,,0.75,0,3
Allen Iverson,2009,,,,,,
Allen Iverson,2009,28,0.55,0.5,0.5,0,1
Allen Iverson,2009,10,0.308,,0.667,2,3
Allen Iverson,2009,31,0.464,0,0.833,1,2
Allen Iverson,2009,14,0.375,0,0.667,1,1
Allen Iverson,2009,22,0.444,,0.857,1,2
Allen Iverson,2009,2,0.25,,,1,1
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,8,0.333,,0.5,0,2
Allen Iverson,2009,11,0.625,,0.333,0,3
Allen Iverson,2009,4,0.125,,1,0,1
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Alonzo Mourning,2002,25,0.467,,0.688,5,5
Alonzo Mourning,2002,17,0.467,,1,3,2
Alonzo Mourning,2002,23,0.474,,0.714,3,1
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,11,0.25,,0.5,3,3
Alonzo Mourning,2002,10,0.556,,,3,2
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,12,0.833,,0.667,0,1
Alonzo Mourning,2002,14,0.6,,0.667,3,7
Alonzo Mourning,2002,8,0.333,,0.5,1,3
Alonzo Mourning,2002,13,0.714,,0.75,4,4
Alonzo Mourning,2002,4,0.286,,,2,1
Alonzo Mourning,2002,21,0.5,,0.636,3,0
Alonzo Mourning,2002,21,0.778,,0.636,3,2
Alonzo Mourning,2002,13,0.333,,0.6,0,1
Alonzo Mourning,2002,21,0.667,,0.5,1,1
Alonzo Mourning,2002,11,0.556,,0.25,2,2
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,9,0.5,,0.5,2,3
Alonzo Mourning,2002,6,0.5,,0,0,1
Alonzo Mourning,2002,9,0.444,,0.5,2,0
Alonzo Mourning,2002,16,0.5,,0.5,3,2
Alonzo Mourning,2002,9,0.3,,0.75,2,0
Alonzo Mourning,2002,14,0.7,,0,3,3
Alonzo Mourning,2002,20,0.529,,0.333,7,6
Alonzo Mourning,2002,18,0.875,,0.667,1,3
Alonzo Mourning,2002,19,0.615,,0.5,0,2
Alonzo Mourning,2002,14,0.455,,0.571,1,2
Alonzo Mourning,2002,21,0.7,,0.636,5,6
Alonzo Mourning,2002,26,0.688,,1,4,1
Alonzo Mourning,2002,16,0.455,0,1,3,5
Alonzo Mourning,2002,10,0.4,,0.667,3,2
Alonzo Mourning,2002,15,0.857,,0.75,0,4
Alonzo Mourning,2002,28,0.706,,0.571,5,3
Alonzo Mourning,2002,19,0.429,,0.7,4,2
Alonzo Mourning,2002,12,0.364,,0.8,2,1
Alonzo Mourning,2002,15,0.4,,0.583,1,1
Alonzo Mourning,2002,17,0.857,,1,1,4
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,15,0.429,,0.5,0,3
Alonzo Mourning,2002,23,0.8,,0.778,1,4
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,13,0.308,,0.833,2,2
Alonzo Mourning,2002,21,0.368,,0.875,2,2
Alonzo Mourning,2002,10,0.5,,0.5,0,0
Alonzo Mourning,2002,18,0.643,,,2,4
Alonzo Mourning,2002,14,0.417,,0.667,2,2
Alonzo Mourning,2002,10,0.625,,0,2,4
Alonzo Mourning,2002,23,0.563,,0.625,4,3
Alonzo Mourning,2002,17,0.6,,0.714,3,1
Alonzo Mourning,2002,12,0.364,,0.8,3,0
Alonzo Mourning,2002,11,0.364,,0.75,2,0
Alonzo Mourning,2002,15,0.417,0.5,0.667,3,1
Alonzo Mourning,2002,7,0.5,,0.333,3,1
Alonzo Mourning,2002,23,0.625,,0.75,2,3
Alonzo Mourning,2002,18,0.583,,0.5,4,3
Alonzo Mourning,2002,18,0.4,,0.625,1,3
Alonzo Mourning,2002,16,0.571,,0.727,4,7
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,18,0.5,,0.667,3,2
Alonzo Mourning,2002,13,0.545,,0.5,2,0
Alonzo Mourning,2002,14,0.444,,1,2,4
Alonzo Mourning,2002,24,0.75,,0.857,3,3
Alonzo Mourning,2002,21,0.588,,0.5,2,3
Alonzo Mourning,2002,16,0.455,,0.545,3,1
Alonzo Mourning,2002,20,0.529,,0.5,5,1
Alonzo Mourning,2002,16,0.462,,0.8,4,3
Alonzo Mourning,2002,20,0.429,,0.824,2,4
Alonzo Mourning,2002,17,0.5,,0.5,7,6
Alonzo Mourning,2002,10,0.308,,0.5,3,1
Alonzo Mourning,2002,8,0.5,,1,1,3
Alonzo Mourning,2002,9,0.273,,1,1,1
Alonzo Mourning,2002,14,0.538,,0,0,1
Alonzo Mourning,2002,18,0.545,,1,3,3
Alonzo Mourning,2002,15,0.462,,0.75,2,2
Alonzo Mourning,2002,19,0.727,,0.75,2,1
Alonzo Mourning,2002,16,0.538,,0.5,4,3
Alonzo Mourning,2002,13,0.4,,1,3,4
Alonzo Mourning,2002,15,0.7,,0.5,1,4
Alonzo Mourning,2002,,,,,,
Alonzo Mourning,2002,25,0.667,,0.714,3,2
Alonzo Mourning,2002,16,0.5,,1,1,1
Andrei Kirilenko,2004,16,0.7,,1,3,1
Andrei Kirilenko,2004,21,0.571,0.333,1,2,3
Andrei Kirilenko,2004,17,0.5,0,1,1,0
Andrei Kirilenko,2004,11,0.833,0.5,,2,0
Andrei Kirilenko,2004,21,0.455,0,1,5,2
Andrei Kirilenko,2004,25,0.471,1,1,4,6
Andrei Kirilenko,2004,10,0.455,0,,3,4
Andrei Kirilenko,2004,15,0.667,0.5,1,5,2
Andrei Kirilenko,2004,11,0.333,0.25,0.8,0,3
Andrei Kirilenko,2004,12,0.333,0,0.5,5,2
Andrei Kirilenko,2004,25,0.474,,0.875,8,3
Andrei Kirilenko,2004,22,0.5,0.333,1,2,0
Andrei Kirilenko,2004,20,0.75,0.6,0.833,1,6
Andrei Kirilenko,2004,23,0.45,0.5,0.5,2,2
Andrei Kirilenko,2004,11,0.571,0.5,0.667,2,5
Andrei Kirilenko,2004,18,0.417,0,1,2,1
Andrei Kirilenko,2004,19,0.545,0.5,0.857,0,3
Andrei Kirilenko,2004,10,0.286,0,0.75,1,4
Andrei Kirilenko,2004,4,0.286,0,,2,4
Andrei Kirilenko,2004,11,0.267,0,0.75,3,3
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,10,0.333,0,1,6,3
