Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
David West,2009,31,14,21,.667,0,0,,3,3,1.000,0,6,6,3,1,0,2,3
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,14,6,15,.400,0,0,,2,2,1.000,3,7,10,0,1,0,1,1
David West,2009,34,15,24,.625,1,1,1.000,3,4,.750,0,7,7,0,0,0,1,3
De'Aaron Fox,2023,33,12,21,.571,5,9,.556,4,5,.800,0,7,7,7,0,2,8,5
De'Aaron Fox,2023,36,15,23,.652,3,5,.600,3,6,.500,1,4,5,4,1,1,3,1
De'Aaron Fox,2023,26,11,20,.550,1,6,.167,3,3,1.000,1,4,5,10,0,1,3,4
De'Aaron Fox,2023,27,11,19,.579,2,6,.333,3,3,1.000,1,5,6,2,1,1,3,5
De'Aaron Fox,2023,17,6,17,.353,0,2,.000,5,5,1.000,2,11,13,5,2,0,3,4
De'Aaron Fox,2023,8,2,4,.500,1,3,.333,3,3,1.000,0,0,0,1,0,0,3,1
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,37,14,24,.583,2,7,.286,7,7,1.000,0,5,5,3,0,1,4,3
De'Aaron Fox,2023,28,8,17,.471,2,5,.400,10,12,.833,1,1,2,6,0,0,2,3
De'Aaron Fox,2023,15,6,14,.429,1,4,.250,2,2,1.000,0,2,2,8,0,3,0,1
De'Aaron Fox,2023,32,13,19,.684,2,5,.400,4,5,.800,0,7,7,12,0,2,3,2
De'Aaron Fox,2023,22,10,19,.526,2,4,.500,0,2,.000,1,3,4,8,1,3,3,3
De'Aaron Fox,2023,14,5,12,.417,1,5,.200,3,5,.600,0,4,4,9,1,1,1,1
De'Aaron Fox,2023,28,11,15,.733,2,3,.667,4,4,1.000,0,3,3,8,0,1,0,3
De'Aaron Fox,2023,33,11,18,.611,2,4,.500,9,9,1.000,0,4,4,7,0,0,2,4
De'Aaron Fox,2023,32,11,21,.524,5,8,.625,5,6,.833,1,7,8,6,0,4,1,3
De'Aaron Fox,2023,18,7,20,.350,1,6,.167,3,7,.429,1,4,5,5,0,0,4,3
De'Aaron Fox,2023,20,6,17,.353,3,9,.333,5,5,1.000,0,4,4,2,0,0,2,1
De'Aaron Fox,2023,11,4,12,.333,1,3,.333,2,2,1.000,1,4,5,5,3,1,1,1
De'Aaron Fox,2023,19,7,11,.636,1,1,1.000,4,5,.800,0,5,5,6,0,0,3,4
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,14,5,12,.417,1,4,.250,3,5,.600,0,6,6,4,1,0,2,0
De'Aaron Fox,2023,16,5,14,.357,2,7,.286,4,4,1.000,0,7,7,4,0,2,4,0
De'Aaron Fox,2023,15,5,16,.313,1,6,.167,4,4,1.000,0,2,2,2,1,0,1,3
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,13,5,15,.333,1,7,.143,2,4,.500,0,4,4,1,0,1,3,2
De'Aaron Fox,2023,27,9,23,.391,4,8,.500,5,7,.714,0,6,6,10,0,1,3,4
De'Aaron Fox,2023,24,9,19,.474,0,5,.000,6,9,.667,0,5,5,9,0,1,3,4
De'Aaron Fox,2023,37,14,25,.560,2,5,.400,7,9,.778,1,4,5,2,0,0,2,5
De'Aaron Fox,2023,22,7,13,.538,0,3,.000,8,9,.889,0,4,4,6,0,0,2,4
De'Aaron Fox,2023,26,9,16,.563,0,3,.000,8,13,.615,1,6,7,3,1,1,1,4
De'Aaron Fox,2023,26,10,16,.625,3,5,.600,3,5,.600,0,1,1,4,0,0,5,1
De'Aaron Fox,2023,31,12,21,.571,2,6,.333,5,5,1.000,0,2,2,13,0,1,4,1
De'Aaron Fox,2023,24,10,24,.417,1,5,.200,3,4,.750,0,3,3,10,0,0,1,2
De'Aaron Fox,2023,19,7,18,.389,2,4,.500,3,3,1.000,1,3,4,6,0,1,5,1
De'Aaron Fox,2023,37,15,22,.682,1,5,.200,6,8,.750,0,3,3,6,2,1,4,2
De'Aaron Fox,2023,25,9,20,.450,0,1,.000,7,7,1.000,0,5,5,5,0,2,1,2
