Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Trae Young,2022,45,13,25,.520,7,15,.467,12,14,.857,0,1,1,8,0,1,4,0
Trae Young,2022,21,9,18,.500,3,9,.333,0,0,,0,2,2,9,0,2,4,0
Trae Young,2022,33,12,20,.600,4,9,.444,5,5,1.000,1,3,4,15,0,2,3,3
Trae Young,2022,14,4,13,.308,2,9,.222,4,4,1.000,0,3,3,16,0,2,2,2
Trae Young,2022,41,13,24,.542,4,12,.333,11,12,.917,0,2,2,8,0,1,3,2
Trae Young,2022,30,9,17,.529,4,9,.444,8,8,1.000,0,2,2,9,0,0,3,1
Trae Young,2022,36,10,24,.417,4,9,.444,12,14,.857,1,5,6,10,0,0,3,2
Trae Young,2022,26,10,23,.435,3,8,.375,3,4,.750,1,3,4,15,0,0,3,1
Trae Young,2022,30,8,17,.471,3,9,.333,11,12,.917,1,1,2,11,0,0,3,3
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,35,12,23,.522,3,11,.273,8,8,1.000,1,1,2,8,0,1,7,1
Trae Young,2022,28,10,20,.500,4,7,.571,4,4,1.000,1,4,5,11,0,0,5,4
Tyrese Haliburton,2023,26,10,18,.556,3,6,.500,3,3,1.000,2,2,4,7,0,0,3,1
Tyrese Haliburton,2023,27,9,18,.500,1,5,.200,8,8,1.000,1,2,3,12,0,1,4,4
Tyrese Haliburton,2023,24,7,16,.438,3,6,.500,7,8,.875,2,2,4,10,0,5,1,2
Tyrese Haliburton,2023,19,7,11,.636,3,6,.500,2,2,1.000,2,4,6,10,0,0,4,0
Tyrese Haliburton,2023,17,6,15,.400,2,6,.333,3,4,.750,0,4,4,11,1,1,6,0
Tyrese Haliburton,2023,25,9,16,.563,3,6,.500,4,4,1.000,0,2,2,12,0,1,1,1
Tyrese Haliburton,2023,26,7,16,.438,6,10,.600,6,6,1.000,2,4,6,8,0,3,3,1
Tyrese Haliburton,2023,11,4,11,.364,1,4,.250,2,2,1.000,1,7,8,5,0,2,7,1
Tyrese Haliburton,2023,22,9,16,.563,3,8,.375,1,4,.250,0,9,9,9,0,2,1,1
Tyrese Haliburton,2023,20,7,14,.500,6,10,.600,0,0,,2,2,4,13,0,2,2,3
Tyrese Haliburton,2023,21,9,15,.600,3,8,.375,0,0,,0,1,1,12,0,3,1,0
Tyrese Haliburton,2023,8,3,14,.214,2,9,.222,0,1,.000,1,5,6,15,1,2,3,2
Tyrese Haliburton,2023,22,9,15,.600,3,8,.375,1,1,1.000,0,2,2,11,0,3,3,1
Tyrese Haliburton,2023,19,7,16,.438,2,9,.222,3,3,1.000,0,6,6,8,0,1,1,1
Tyrese Haliburton,2023,22,9,16,.563,3,8,.375,1,2,.500,1,3,4,14,3,2,3,3
Tyrese Haliburton,2023,18,7,12,.583,1,5,.200,3,3,1.000,0,4,4,14,0,0,7,0
Tyrese Haliburton,2023,10,4,15,.267,2,7,.286,0,0,,1,1,2,14,0,1,3,0
Tyrese Haliburton,2023,21,7,15,.467,1,6,.167,6,6,1.000,0,6,6,15,0,4,0,0
Tyrese Haliburton,2023,15,6,16,.375,3,8,.375,0,0,,0,5,5,11,0,2,0,0
Tyrese Haliburton,2023,24,10,22,.455,3,7,.429,1,3,.333,2,5,7,14,1,1,0,1
