Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Tracy McGrady,2007,24,10,21,.476,2,5,.400,2,6,.333,0,5,5,7,0,1,2,2
Tracy McGrady,2007,21,7,17,.412,3,5,.600,4,4,1.000,1,3,4,8,0,1,1,2
Tracy McGrady,2007,20,7,21,.333,1,5,.200,5,6,.833,1,8,9,10,1,1,3,3
Tracy McGrady,2007,20,9,24,.375,0,3,.000,2,4,.500,0,5,5,8,0,0,2,2
Tracy McGrady,2007,31,12,20,.600,1,4,.250,6,9,.667,1,4,5,6,0,0,2,0
Tracy McGrady,2007,22,9,18,.500,2,6,.333,2,3,.667,1,3,4,10,1,4,1,2
Tracy McGrady,2007,27,12,30,.400,0,4,.000,3,5,.600,0,5,5,8,1,1,4,1
Tracy McGrady,2007,30,7,24,.292,1,4,.250,15,16,.938,1,4,5,10,0,0,4,4
Tracy McGrady,2007,20,9,23,.391,2,5,.400,0,2,.000,1,4,5,4,1,0,1,1
Tracy McGrady,2007,0,0,3,.000,0,2,.000,0,0,,1,1,2,3,1,1,2,0
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,40,14,28,.500,3,6,.500,9,12,.750,2,6,8,10,1,2,6,2
Tracy McGrady,2007,27,10,24,.417,0,2,.000,7,10,.700,0,5,5,5,1,3,4,3
Tracy McGrady,2007,32,10,25,.400,2,6,.333,10,14,.714,0,8,8,7,0,3,1,2
Tracy McGrady,2007,25,11,18,.611,0,1,.000,3,3,1.000,0,7,7,10,1,3,4,2
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,39,14,31,.452,3,7,.429,8,11,.727,4,7,11,9,0,2,6,3
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Vlade Divac,2001,7,2,5,.400,0,0,,3,3,1.000,0,3,3,3,1,2,0,2
Vlade Divac,2001,4,2,5,.400,0,0,,0,0,,2,2,4,1,0,0,0,1
Vlade Divac,2001,2,1,5,.200,0,0,,0,0,,1,3,4,3,1,2,2,3
Vlade Divac,2001,20,6,11,.545,0,0,,8,11,.727,3,9,12,0,0,1,1,5
Vlade Divac,2001,16,7,14,.500,0,0,,2,2,1.000,2,9,11,2,2,0,2,4
Vlade Divac,2001,8,2,5,.400,0,0,,4,6,.667,0,5,5,5,0,0,2,4
Vlade Divac,2001,13,4,10,.400,0,0,,5,5,1.000,3,3,6,6,0,1,2,6
Vlade Divac,2001,3,1,3,.333,0,0,,1,2,.500,2,8,10,7,0,1,2,2
Vlade Divac,2001,21,8,16,.500,0,2,.000,5,5,1.000,2,9,11,6,2,0,6,3
Vlade Divac,2001,8,3,10,.300,0,0,,2,2,1.000,1,7,8,1,1,1,0,5
Vlade Divac,2001,10,4,8,.500,0,0,,2,4,.500,4,8,12,3,1,4,1,3
Vlade Divac,2001,12,5,10,.500,0,0,,2,4,.500,5,3,8,4,0,1,2,2
Vlade Divac,2001,2,1,4,.250,0,0,,0,0,,0,8,8,4,2,1,0,4
Vlade Divac,2001,2,1,9,.111,0,0,,0,0,,6,6,12,2,0,0,2,4
Vlade Divac,2001,14,5,6,.833,0,0,,4,8,.500,0,6,6,1,2,2,3,3
Vlade Divac,2001,4,2,4,.500,0,0,,0,0,,1,6,7,4,1,2,1,0
Vlade Divac,2001,1,0,4,.000,0,0,,1,2,.500,2,6,8,4,0,1,1,4
Vlade Divac,2001,7,3,7,.429,0,0,,1,1,1.000,2,2,4,1,0,1,2,2
Vlade Divac,2001,16,7,14,.500,0,0,,2,3,.667,2,5,7,3,1,2,0,1
Vlade Divac,2001,5,1,6,.167,0,1,.000,3,4,.750,4,4,8,1,0,1,4,1
Vlade Divac,2001,,,,,,,,,,,,,,,,,,
