Player,Highest Points,Lowest Points,Avg Points,Highest Field Goals,Lowest Field Goals,Avg Field Goals,Highest FG Attempts,Lowest FG Attempts,Avg FG Attempts,Highest FG%,Lowest FG%,Avg FG%,Highest Three Pointers,Lowest Three Pointers,Avg Three Pointers,Highest 3P Attempts,Lowest 3P Attempts,Avg 3P Attempts,Highest 3P%,Lowest 3P%,Avg 3P%,Highest Free Throws,Lowest Free Throws,Avg Free Throws,Highest FT Attempts,Lowest FT Attempts,Avg FT Attempts,Highest FT%,Lowest FT%,Avg FT%,Highest ORB,Lowest ORB,Avg ORB,Highest DRB,Lowest DRB,Avg DRB,Highest TRB,Lowest TRB,Avg TRB,Highest Assists,Lowest Assists,Avg Assists,Highest Blocks,Lowest Blocks,Avg Blocks,Highest Steals,Lowest Steals,Avg Steals,Highest Turnovers,Lowest Turnovers,Avg Turnovers,Highest Personal Fouls,Lowest Personal Fouls,Avg Personal Fouls
Carmelo Anthony,45.0,7.0,22.41891891891892,18.0,3.0,8.135135135135135,36.0,8.0,18.77027027027027,0.714,0.2,0.4342297297297298,7.0,0.0,2.0405405405405403,11.0,1.0,5.6891891891891895,1.0,0.0,0.34322972972972976,12.0,0.0,4.108108108108108,14.0,0.0,4.9324324324324325,1.0,0.333,0.8261029411764707,3.0,0.0,0.8378378378378378,13.0,0.0,5.081081081081081,13.0,1.0,5.918918918918919,10.0,0.0,2.8783783783783785,3.0,0.0,0.4594594594594595,4.0,0.0,0.8108108108108109,7.0,0.0,2.0675675675675675,6.0,0.0,2.675675675675676
Caron Butler,38.0,2.0,19.095238095238095,14.0,1.0,7.158730158730159,25.0,2.0,15.476190476190476,0.765,0.1,0.45280952380952383,2.0,0.0,0.2857142857142857,3.0,0.0,1.1428571428571428,1.0,0.0,0.24071111111111113,15.0,0.0,4.492063492063492,17.0,0.0,5.2063492063492065,1.0,0.5,0.8716363636363635,8.0,0.0,2.3333333333333335,11.0,1.0,5.079365079365079,13.0,1.0,7.412698412698413,10.0,0.0,3.6984126984126986,2.0,0.0,0.2698412698412698,6.0,0.0,2.126984126984127,7.0,0.0,2.873015873015873,5.0,0.0,2.984126984126984
Chauncey Billups,39.0,5.0,19.54794520547945,13.0,1.0,5.506849315068493,25.0,5.0,13.178082191780822,0.75,0.125,0.4106164383561644,9.0,0.0,2.1506849315068495,13.0,2.0,5.575342465753424,1.0,0.0,0.3689041095890411,17.0,0.0,6.383561643835616,19.0,0.0,7.013698630136986,1.0,0.5,0.9189714285714287,2.0,0.0,0.3424657534246575,8.0,0.0,2.780821917808219,8.0,0.0,3.1232876712328768,12.0,0.0,5.602739726027397,2.0,0.0,0.1232876712328767,4.0,0.0,1.1232876712328768,7.0,0.0,2.4246575342465753,6.0,0.0,2.095890410958904
Chris Bosh,34.0,8.0,21.09090909090909,14.0,2.0,7.795454545454546,23.0,10.0,16.931818181818183,0.75,0.118,0.460409090909091,4.0,0.0,1.4318181818181819,6.0,1.0,3.8181818181818183,1.0,0.0,0.3522954545454546,10.0,0.0,4.068181818181818,13.0,0.0,5.2727272727272725,1.0,0.0,0.7495476190476191,4.0,0.0,1.0454545454545454,11.0,1.0,6.0,15.0,2.0,7.045454545454546,6.0,1.0,2.159090909090909,5.0,0.0,0.5681818181818182,4.0,0.0,0.9318181818181818,5.0,0.0,2.159090909090909,5.0,0.0,1.5681818181818181
Chris Kaman,29.0,4.0,18.526315789473685,13.0,1.0,7.75,26.0,6.0,15.81578947368421,0.846,0.158,0.4895657894736841,0.0,0.0,0.0,1.0,0.0,0.07894736842105263,0.0,0.0,0.0,10.0,0.0,3.026315789473684,14.0,0.0,4.0394736842105265,1.0,0.0,0.7720303030303031,7.0,0.0,2.4210526315789473,14.0,1.0,6.842105263157895,16.0,3.0,9.263157894736842,6.0,0.0,1.5789473684210527,5.0,0.0,1.236842105263158,3.0,0.0,0.4868421052631579,7.0,0.0,2.9342105263157894,6.0,0.0,2.8026315789473686
Chris Paul,27.0,4.0,14.738461538461538,10.0,1.0,5.584615384615384,19.0,4.0,11.323076923076924,0.75,0.1,0.4967230769230768,4.0,0.0,0.9692307692307692,8.0,0.0,3.0615384615384613,1.0,0.0,0.30618032786885246,10.0,0.0,2.6,10.0,0.0,3.1076923076923078,1.0,0.333,0.8292075471698114,3.0,0.0,0.3384615384615385,10.0,0.0,4.015384615384615,13.0,0.0,4.3538461538461535,19.0,4.0,10.8,2.0,0.0,0.3076923076923077,7.0,0.0,1.8615384615384616,7.0,0.0,2.353846153846154,5.0,0.0,2.0615384615384613
Chris Webber,39.0,13.0,24.48148148148148,17.0,2.0,9.851851851851851,28.0,13.0,19.90740740740741,0.75,0.125,0.49701851851851847,1.0,0.0,0.09259259259259259,2.0,0.0,0.35185185185185186,1.0,0.0,0.28125,15.0,0.0,4.685185185185185,18.0,0.0,6.2592592592592595,1.0,0.25,0.7619807692307693,6.0,0.0,2.7777777777777777,13.0,1.0,7.333333333333333,15.0,2.0,10.11111111111111,9.0,0.0,4.777777777777778,4.0,0.0,1.4074074074074074,5.0,0.0,1.6666666666666667,7.0,0.0,2.925925925925926,6.0,1.0,3.3703703703703702
Dale Davis,23.0,0.0,10.04054054054054,10.0,0.0,4.081081081081081,15.0,3.0,8.135135135135135,0.8,0.0,0.49631081081081074,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,0.0,1.8783783783783783,14.0,0.0,2.7432432432432434,1.0,0.0,0.6993061224489796,9.0,0.0,3.4594594594594597,15.0,0.0,6.391891891891892,20.0,0.0,9.85135135135135,3.0,0.0,0.8648648648648649,6.0,0.0,1.2702702702702702,3.0,0.0,0.7027027027027027,5.0,0.0,1.2297297297297298,6.0,0.0,2.7432432432432434
Damian Lillard,71.0,13.0,32.172413793103445,22.0,2.0,9.586206896551724,38.0,12.0,20.724137931034484,0.724,0.143,0.45489655172413795,13.0,1.0,4.206896551724138,22.0,6.0,11.344827586206897,0.647,0.083,0.3540862068965517,17.0,1.0,8.793103448275861,20.0,1.0,9.620689655172415,1.0,0.5,0.9146206896551724,3.0,0.0,0.7586206896551724,11.0,0.0,4.017241379310345,13.0,1.0,4.775862068965517,12.0,0.0,7.327586206896552,2.0,0.0,0.3103448275862069,4.0,0.0,0.8620689655172413,7.0,0.0,3.293103448275862,4.0,0.0,1.8793103448275863
D'Angelo Russell,44.0,3.0,21.135802469135804,17.0,1.0,8.135802469135802,34.0,6.0,18.728395061728396,0.684,0.125,0.4269999999999999,9.0,0.0,2.888888888888889,15.0,2.0,7.839506172839506,0.75,0.0,0.3507407407407407,9.0,0.0,1.9753086419753085,10.0,0.0,2.5308641975308643,1.0,0.0,0.7500178571428571,4.0,0.0,0.654320987654321,9.0,0.0,3.234567901234568,10.0,0.0,3.888888888888889,14.0,2.0,6.950617283950617,1.0,0.0,0.24691358024691357,4.0,0.0,1.2345679012345678,8.0,0.0,3.123456790123457,5.0,0.0,1.7407407407407407
Danny Granger,42.0,4.0,25.791044776119403,15.0,2.0,8.522388059701493,28.0,7.0,19.059701492537314,0.722,0.263,0.4458059701492537,6.0,0.0,2.716417910447761,11.0,0.0,6.7164179104477615,1.0,0.0,0.4056515151515151,17.0,0.0,6.029850746268656,17.0,0.0,6.865671641791045,1.0,0.0,0.8512461538461539,3.0,0.0,0.7313432835820896,10.0,0.0,4.358208955223881,11.0,1.0,5.08955223880597,7.0,0.0,2.7313432835820897,6.0,0.0,1.4477611940298507,5.0,0.0,1.0298507462686568,6.0,0.0,2.462686567164179,6.0,1.0,3.08955223880597
