Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
James Harden,2021,19,6,11,.545,5,8,.625,2,2,1.000,0,8,8,16,1,3,5,2
James Harden,2021,29,10,18,.556,6,10,.600,3,3,1.000,2,11,13,14,1,0,7,2
James Harden,2021,38,14,22,.636,5,11,.455,5,5,1.000,0,7,7,11,0,1,2,2
James Harden,2021,23,7,15,.467,3,7,.429,6,7,.857,0,5,5,11,1,2,1,1
James Harden,2021,37,13,25,.520,4,9,.444,7,11,.636,1,10,11,7,0,2,3,2
James Harden,2021,29,9,22,.409,5,10,.500,6,9,.667,1,10,11,14,0,1,4,2
James Harden,2021,20,7,16,.438,5,10,.500,1,2,.500,1,8,9,7,0,1,6,3
James Harden,2021,29,9,21,.429,4,11,.364,7,8,.875,1,6,7,6,1,0,6,1
James Harden,2021,30,12,23,.522,3,7,.429,3,4,.750,4,10,14,15,0,2,0,3
James Harden,2021,29,10,15,.667,4,8,.500,5,7,.714,0,10,10,14,1,3,8,0
James Harden,2021,22,6,16,.375,1,8,.125,9,9,1.000,2,8,10,8,2,1,7,4
James Harden,2021,24,8,19,.421,0,6,.000,8,8,1.000,1,9,10,10,3,2,4,2
James Harden,2021,21,6,15,.400,0,5,.000,9,9,1.000,0,14,14,15,1,0,7,2
James Harden,2021,40,13,27,.481,2,9,.222,12,14,.857,2,8,10,15,0,2,2,4
James Harden,2021,19,4,15,.267,2,8,.250,9,12,.750,0,4,4,9,0,2,3,4
James Harden,2021,26,10,23,.435,3,9,.333,3,4,.750,1,4,5,8,1,3,3,2
James Harden,2021,25,7,24,.292,0,7,.000,11,13,.846,0,7,7,17,0,2,4,2
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,44,14,30,.467,4,11,.364,12,14,.857,2,12,14,8,0,1,3,6
James Harden,2021,38,11,25,.440,4,8,.500,12,13,.923,0,11,11,13,1,1,6,0
James Harden,2021,17,5,10,.500,0,3,.000,7,7,1.000,1,7,8,6,0,0,3,2
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,0,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,0
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,,,,,,,,,,,,,,,,,,
